NAME,pct_uninsured,state,county,fips
"Autauga County, Alabama",4268,01,001,01001
"Baldwin County, Alabama",19338,01,003,01003
"Barbour County, Alabama",2350,01,005,01005
"Bibb County, Alabama",1730,01,007,01007
"Blount County, Alabama",5997,01,009,01009
"Bullock County, Alabama",1185,01,011,01011
"Butler County, Alabama",2272,01,013,01013
"Calhoun County, Alabama",12680,01,015,01015
"Chambers County, Alabama",4156,01,017,01017
"Cherokee County, Alabama",2250,01,019,01019
"Chilton County, Alabama",4550,01,021,01021
"Choctaw County, Alabama",1013,01,023,01023
"Clarke County, Alabama",1836,01,025,01025
"Clay County, Alabama",1171,01,027,01027
"Cleburne County, Alabama",1390,01,029,01029
"Coffee County, Alabama",5449,01,031,01031
"Colbert County, Alabama",4242,01,033,01033
"Conecuh County, Alabama",925,01,035,01035
"Coosa County, Alabama",734,01,037,01037
"Covington County, Alabama",3845,01,039,01039
"Crenshaw County, Alabama",1182,01,041,01041
"Cullman County, Alabama",9473,01,043,01043
"Dale County, Alabama",5097,01,045,01045
"Dallas County, Alabama",3445,01,047,01047
"DeKalb County, Alabama",10680,01,049,01049
"Elmore County, Alabama",6478,01,051,01051
"Escambia County, Alabama",3877,01,053,01053
"Etowah County, Alabama",12489,01,055,01055
"Fayette County, Alabama",1261,01,057,01057
"Franklin County, Alabama",3723,01,059,01059
"Geneva County, Alabama",3380,01,061,01061
"Greene County, Alabama",1040,01,063,01063
"Hale County, Alabama",920,01,065,01065
"Henry County, Alabama",1378,01,067,01067
"Houston County, Alabama",12422,01,069,01069
"Jackson County, Alabama",5475,01,071,01071
"Jefferson County, Alabama",60904,01,073,01073
"Lamar County, Alabama",1237,01,075,01075
"Lauderdale County, Alabama",9166,01,077,01077
"Lawrence County, Alabama",3024,01,079,01079
"Lee County, Alabama",15278,01,081,01081
"Limestone County, Alabama",8508,01,083,01083
"Lowndes County, Alabama",839,01,085,01085
"Macon County, Alabama",1702,01,087,01087
"Madison County, Alabama",30254,01,089,01089
"Marengo County, Alabama",1624,01,091,01091
"Marion County, Alabama",2903,01,093,01093
"Marshall County, Alabama",11243,01,095,01095
"Mobile County, Alabama",44347,01,097,01097
"Monroe County, Alabama",2153,01,099,01099
"Montgomery County, Alabama",23508,01,101,01101
"Morgan County, Alabama",13679,01,103,01103
"Perry County, Alabama",606,01,105,01105
"Pickens County, Alabama",1528,01,107,01107
"Pike County, Alabama",2690,01,109,01109
"Randolph County, Alabama",1983,01,111,01111
"Russell County, Alabama",6549,01,113,01113
"St. Clair County, Alabama",6636,01,115,01115
"Shelby County, Alabama",14950,01,117,01117
"Sumter County, Alabama",1087,01,119,01119
"Talladega County, Alabama",6561,01,121,01121
"Tallapoosa County, Alabama",3575,01,123,01123
"Tuscaloosa County, Alabama",15471,01,125,01125
"Walker County, Alabama",7415,01,127,01127
"Washington County, Alabama",1172,01,129,01129
"Wilcox County, Alabama",927,01,131,01131
"Winston County, Alabama",2202,01,133,01133
"Aleutians East Borough, Alaska",1194,02,013,02013
"Aleutians West Census Area, Alaska",906,02,016,02016
"Anchorage Municipality, Alaska",27758,02,020,02020
"Bethel Census Area, Alaska",2343,02,050,02050
"Bristol Bay Borough, Alaska",167,02,060,02060
"Chugach Census Area, Alaska",936,02,063,02063
"Copper River Census Area, Alaska",438,02,066,02066
"Denali Borough, Alaska",101,02,068,02068
"Dillingham Census Area, Alaska",798,02,070,02070
"Fairbanks North Star Borough, Alaska",7752,02,090,02090
"Haines Borough, Alaska",177,02,100,02100
"Hoonah-Angoon Census Area, Alaska",480,02,105,02105
"Juneau City and Borough, Alaska",2490,02,110,02110
"Kenai Peninsula Borough, Alaska",6841,02,122,02122
"Ketchikan Gateway Borough, Alaska",1290,02,130,02130
"Kodiak Island Borough, Alaska",1214,02,150,02150
"Kusilvak Census Area, Alaska",924,02,158,02158
"Lake and Peninsula Borough, Alaska",315,02,164,02164
"Matanuska-Susitna Borough, Alaska",13131,02,170,02170
"Nome Census Area, Alaska",1457,02,180,02180
"North Slope Borough, Alaska",1555,02,185,02185
"Northwest Arctic Borough, Alaska",1426,02,188,02188
"Petersburg Borough, Alaska",359,02,195,02195
"Prince of Wales-Hyder Census Area, Alaska",1040,02,198,02198
"Sitka City and Borough, Alaska",916,02,220,02220
"Skagway Municipality, Alaska",116,02,230,02230
"Southeast Fairbanks Census Area, Alaska",1133,02,240,02240
"Wrangell City and Borough, Alaska",358,02,275,02275
"Yakutat City and Borough, Alaska",78,02,282,02282
"Yukon-Koyukuk Census Area, Alaska",1200,02,290,02290
"Apache County, Arizona",13237,04,001,04001
"Cochise County, Arizona",9392,04,003,04003
"Coconino County, Arizona",15714,04,005,04005
"Gila County, Arizona",5260,04,007,04007
"Graham County, Arizona",3153,04,009,04009
"Greenlee County, Arizona",242,04,011,04011
"La Paz County, Arizona",2126,04,012,04012
"Maricopa County, Arizona",476735,04,013,04013
"Mohave County, Arizona",20696,04,015,04015
"Navajo County, Arizona",16165,04,017,04017
"Pima County, Arizona",91882,04,019,04019
"Pinal County, Arizona",43687,04,021,04021
"Santa Cruz County, Arizona",6950,04,023,04023
"Yavapai County, Arizona",25695,04,025,04025
"Yuma County, Arizona",29063,04,027,04027
"Arkansas County, Arkansas",1100,05,001,05001
"Ashley County, Arkansas",1599,05,003,05003
"Baxter County, Arkansas",2988,05,005,05005
"Benton County, Arkansas",28690,05,007,05007
"Boone County, Arkansas",2967,05,009,05009
"Bradley County, Arkansas",1233,05,011,05011
"Calhoun County, Arkansas",444,05,013,05013
"Carroll County, Arkansas",3798,05,015,05015
"Chicot County, Arkansas",974,05,017,05017
"Clark County, Arkansas",1836,05,019,05019
"Clay County, Arkansas",1267,05,021,05021
"Cleburne County, Arkansas",1793,05,023,05023
"Cleveland County, Arkansas",363,05,025,05025
"Columbia County, Arkansas",1465,05,027,05027
"Conway County, Arkansas",1322,05,029,05029
"Craighead County, Arkansas",9334,05,031,05031
"Crawford County, Arkansas",5067,05,033,05033
"Crittenden County, Arkansas",3764,05,035,05035
"Cross County, Arkansas",1236,05,037,05037
"Dallas County, Arkansas",281,05,039,05039
"Desha County, Arkansas",932,05,041,05041
"Drew County, Arkansas",1200,05,043,05043
"Faulkner County, Arkansas",9330,05,045,05045
"Franklin County, Arkansas",1405,05,047,05047
"Fulton County, Arkansas",1372,05,049,05049
"Garland County, Arkansas",9372,05,051,05051
"Grant County, Arkansas",1195,05,053,05053
"Greene County, Arkansas",4120,05,055,05055
"Hempstead County, Arkansas",1974,05,057,05057
"Hot Spring County, Arkansas",2468,05,059,05059
"Howard County, Arkansas",1458,05,061,05061
"Independence County, Arkansas",3865,05,063,05063
"Izard County, Arkansas",838,05,065,05065
"Jackson County, Arkansas",1281,05,067,05067
"Jefferson County, Arkansas",3341,05,069,05069
"Johnson County, Arkansas",2007,05,071,05071
"Lafayette County, Arkansas",526,05,073,05073
"Lawrence County, Arkansas",1488,05,075,05075
"Lee County, Arkansas",453,05,077,05077
"Lincoln County, Arkansas",675,05,079,05079
"Little River County, Arkansas",666,05,081,05081
"Logan County, Arkansas",1619,05,083,05083
"Lonoke County, Arkansas",4895,05,085,05085
"Madison County, Arkansas",2117,05,087,05087
"Marion County, Arkansas",1223,05,089,05089
"Miller County, Arkansas",4676,05,091,05091
"Mississippi County, Arkansas",3688,05,093,05093
"Monroe County, Arkansas",464,05,095,05095
"Montgomery County, Arkansas",947,05,097,05097
"Nevada County, Arkansas",497,05,099,05099
"Newton County, Arkansas",433,05,101,05101
"Ouachita County, Arkansas",1279,05,103,05103
"Perry County, Arkansas",529,05,105,05105
"Phillips County, Arkansas",1327,05,107,05107
"Pike County, Arkansas",1157,05,109,05109
"Poinsett County, Arkansas",2230,05,111,05111
"Polk County, Arkansas",1857,05,113,05113
"Pope County, Arkansas",4763,05,115,05115
"Prairie County, Arkansas",483,05,117,05117
"Pulaski County, Arkansas",37706,05,119,05119
"Randolph County, Arkansas",1303,05,121,05121
"St. Francis County, Arkansas",1569,05,123,05123
"Saline County, Arkansas",7509,05,125,05125
"Scott County, Arkansas",958,05,127,05127
"Searcy County, Arkansas",450,05,129,05129
"Sebastian County, Arkansas",13306,05,131,05131
"Sevier County, Arkansas",2963,05,133,05133
"Sharp County, Arkansas",1038,05,135,05135
"Stone County, Arkansas",1120,05,137,05137
"Union County, Arkansas",2206,05,139,05139
"Van Buren County, Arkansas",1561,05,141,05141
"Washington County, Arkansas",30735,05,143,05143
"White County, Arkansas",7491,05,145,05145
"Woodruff County, Arkansas",482,05,147,05147
"Yell County, Arkansas",1649,05,149,05149
"Alameda County, California",67038,06,001,06001
"Alpine County, California",85,06,003,06003
"Amador County, California",2221,06,005,06005
"Butte County, California",13173,06,007,06007
"Calaveras County, California",2407,06,009,06009
"Colusa County, California",1947,06,011,06011
"Contra Costa County, California",55641,06,013,06013
"Del Norte County, California",1471,06,015,06015
"El Dorado County, California",7653,06,017,06017
"Fresno County, California",70433,06,019,06019
"Glenn County, California",2541,06,021,06021
"Humboldt County, California",7770,06,023,06023
"Imperial County, California",11673,06,025,06025
"Inyo County, California",1316,06,027,06027
"Kern County, California",69712,06,029,06029
"Kings County, California",10715,06,031,06031
"Lake County, California",4306,06,033,06033
"Lassen County, California",1611,06,035,06035
"Los Angeles County, California",849903,06,037,06037
"Madera County, California",11433,06,039,06039
"Marin County, California",9666,06,041,06041
"Mariposa County, California",1107,06,043,06043
"Mendocino County, California",7335,06,045,06045
"Merced County, California",25346,06,047,06047
"Modoc County, California",834,06,049,06049
"Mono County, California",1506,06,051,06051
"Monterey County, California",41838,06,053,06053
"Napa County, California",7679,06,055,06055
"Nevada County, California",5322,06,057,06057
"Orange County, California",213959,06,059,06059
"Placer County, California",13827,06,061,06061
"Plumas County, California",979,06,063,06063
"Riverside County, California",195124,06,065,06065
"Sacramento County, California",80866,06,067,06067
"San Benito County, California",4154,06,069,06069
"San Bernardino County, California",181725,06,071,06071
"San Diego County, California",214784,06,073,06073
"San Francisco County, California",28786,06,075,06075
"San Joaquin County, California",50075,06,077,06077
"San Luis Obispo County, California",16050,06,079,06079
"San Mateo County, California",29225,06,081,06081
"Santa Barbara County, California",40217,06,083,06083
"Santa Clara County, California",75322,06,085,06085
"Santa Cruz County, California",14067,06,087,06087
"Shasta County, California",12062,06,089,06089
"Sierra County, California",327,06,091,06091
"Siskiyou County, California",2801,06,093,06093
"Solano County, California",21296,06,095,06095
"Sonoma County, California",26060,06,097,06097
"Stanislaus County, California",33141,06,099,06099
"Sutter County, California",5821,06,101,06101
"Tehama County, California",4149,06,103,06103
"Trinity County, California",1954,06,105,06105
"Tulare County, California",37746,06,107,06107
"Tuolumne County, California",3059,06,109,06109
"Ventura County, California",65925,06,111,06111
"Yolo County, California",10032,06,113,06113
"Yuba County, California",5517,06,115,06115
"Adams County, Colorado",57909,08,001,08001
"Alamosa County, Colorado",1039,08,003,08003
"Arapahoe County, Colorado",58302,08,005,08005
"Archuleta County, Colorado",1568,08,007,08007
"Baca County, Colorado",260,08,009,08009
"Bent County, Colorado",348,08,011,08011
"Boulder County, Colorado",14265,08,013,08013
"Broomfield County, Colorado",3584,08,014,08014
"Chaffee County, Colorado",1348,08,015,08015
"Cheyenne County, Colorado",136,08,017,08017
"Clear Creek County, Colorado",637,08,019,08019
"Conejos County, Colorado",1014,08,021,08021
"Costilla County, Colorado",295,08,023,08023
"Crowley County, Colorado",322,08,025,08025
"Custer County, Colorado",397,08,027,08027
"Delta County, Colorado",3362,08,029,08029
"Denver County, Colorado",62025,08,031,08031
"Dolores County, Colorado",160,08,033,08033
"Douglas County, Colorado",13515,08,035,08035
"Eagle County, Colorado",5592,08,037,08037
"Elbert County, Colorado",1234,08,039,08039
"El Paso County, Colorado",49508,08,041,08041
"Fremont County, Colorado",2432,08,043,08043
"Garfield County, Colorado",10979,08,045,08045
"Gilpin County, Colorado",433,08,047,08047
"Grand County, Colorado",2079,08,049,08049
"Gunnison County, Colorado",1053,08,051,08051
"Hinsdale County, Colorado",100,08,053,08053
"Huerfano County, Colorado",289,08,055,08055
"Jackson County, Colorado",106,08,057,08057
"Jefferson County, Colorado",30099,08,059,08059
"Kiowa County, Colorado",93,08,061,08061
"Kit Carson County, Colorado",751,08,063,08063
"Lake County, Colorado",981,08,065,08065
"La Plata County, Colorado",5307,08,067,08067
"Larimer County, Colorado",20626,08,069,08069
"Las Animas County, Colorado",1177,08,071,08071
"Lincoln County, Colorado",344,08,073,08073
"Logan County, Colorado",1713,08,075,08075
"Mesa County, Colorado",15311,08,077,08077
"Mineral County, Colorado",124,08,079,08079
"Moffat County, Colorado",1166,08,081,08081
"Montezuma County, Colorado",2969,08,083,08083
"Montrose County, Colorado",5533,08,085,08085
"Morgan County, Colorado",3094,08,087,08087
"Otero County, Colorado",1303,08,089,08089
"Ouray County, Colorado",717,08,091,08091
"Park County, Colorado",1236,08,093,08093
"Phillips County, Colorado",241,08,095,08095
"Pitkin County, Colorado",777,08,097,08097
"Prowers County, Colorado",1191,08,099,08099
"Pueblo County, Colorado",9368,08,101,08101
"Rio Blanco County, Colorado",618,08,103,08103
"Rio Grande County, Colorado",1546,08,105,08105
"Routt County, Colorado",1993,08,107,08107
"Saguache County, Colorado",714,08,109,08109
"San Juan County, Colorado",86,08,111,08111
"San Miguel County, Colorado",863,08,113,08113
"Sedgwick County, Colorado",193,08,115,08115
"Summit County, Colorado",3151,08,117,08117
"Teller County, Colorado",1722,08,119,08119
"Washington County, Colorado",292,08,121,08121
"Weld County, Colorado",28705,08,123,08123
"Yuma County, Colorado",1425,08,125,08125
"Capitol Planning Region, Connecticut",40342,09,110,09110
"Greater Bridgeport Planning Region, Connecticut",27196,09,120,09120
"Lower Connecticut River Valley Planning Region, Connecticut",5920,09,130,09130
"Naugatuck Valley Planning Region, Connecticut",19991,09,140,09140
"Northeastern Connecticut Planning Region, Connecticut",3539,09,150,09150
"Northwest Hills Planning Region, Connecticut",4368,09,160,09160
"South Central Connecticut Planning Region, Connecticut",28864,09,170,09170
"Southeastern Connecticut Planning Region, Connecticut",12192,09,180,09180
"Western Connecticut Planning Region, Connecticut",46148,09,190,09190
"Kent County, Delaware",12636,10,001,10001
"New Castle County, Delaware",32007,10,003,10003
"Sussex County, Delaware",17034,10,005,10005
"District of Columbia, District of Columbia",22635,11,001,11001
"Alachua County, Florida",21770,12,001,12001
"Baker County, Florida",2614,12,003,12003
"Bay County, Florida",24454,12,005,12005
"Bradford County, Florida",2724,12,007,12007
"Brevard County, Florida",60681,12,009,12009
"Broward County, Florida",256243,12,011,12011
"Calhoun County, Florida",2244,12,013,12013
"Charlotte County, Florida",18684,12,015,12015
"Citrus County, Florida",17958,12,017,12017
"Clay County, Florida",17919,12,019,12019
"Collier County, Florida",43062,12,021,12021
"Columbia County, Florida",9191,12,023,12023
"DeSoto County, Florida",6208,12,027,12027
"Dixie County, Florida",2718,12,029,12029
"Duval County, Florida",112908,12,031,12031
"Escambia County, Florida",37207,12,033,12033
"Flagler County, Florida",13053,12,035,12035
"Franklin County, Florida",1661,12,037,12037
"Gadsden County, Florida",6717,12,039,12039
"Gilchrist County, Florida",2657,12,041,12041
"Glades County, Florida",2274,12,043,12043
"Gulf County, Florida",1159,12,045,12045
"Hamilton County, Florida",1444,12,047,12047
"Hardee County, Florida",4020,12,049,12049
"Hendry County, Florida",8248,12,051,12051
"Hernando County, Florida",23279,12,053,12053
"Highlands County, Florida",13038,12,055,12055
"Hillsborough County, Florida",168864,12,057,12057
"Holmes County, Florida",2376,12,059,12059
"Indian River County, Florida",17093,12,061,12061
"Jackson County, Florida",4045,12,063,12063
"Jefferson County, Florida",1320,12,065,12065
"Lafayette County, Florida",728,12,067,12067
"Lake County, Florida",39859,12,069,12069
"Lee County, Florida",98036,12,071,12071
"Leon County, Florida",22319,12,073,12073
"Levy County, Florida",6549,12,075,12075
"Liberty County, Florida",533,12,077,12077
"Madison County, Florida",1976,12,079,12079
"Manatee County, Florida",48059,12,081,12081
"Marion County, Florida",46490,12,083,12083
"Martin County, Florida",16016,12,085,12085
"Miami-Dade County, Florida",381592,12,086,12086
"Monroe County, Florida",11859,12,087,12087
"Nassau County, Florida",7030,12,089,12089
"Okaloosa County, Florida",22683,12,091,12091
"Okeechobee County, Florida",6503,12,093,12093
"Orange County, Florida",176313,12,095,12095
"Osceola County, Florida",44284,12,097,12097
"Palm Beach County, Florida",196856,12,099,12099
"Pasco County, Florida",62588,12,101,12101
"Pinellas County, Florida",101577,12,103,12103
"Polk County, Florida",97459,12,105,12105
"Putnam County, Florida",11027,12,107,12107
"St. Johns County, Florida",18668,12,109,12109
"St. Lucie County, Florida",41664,12,111,12111
"Santa Rosa County, Florida",19095,12,113,12113
"Sarasota County, Florida",44275,12,115,12115
"Seminole County, Florida",45071,12,117,12117
"Sumter County, Florida",6709,12,119,12119
"Suwannee County, Florida",5081,12,121,12121
"Taylor County, Florida",1770,12,123,12123
"Union County, Florida",1028,12,125,12125
"Volusia County, Florida",61861,12,127,12127
"Wakulla County, Florida",2088,12,129,12129
"Walton County, Florida",10976,12,131,12131
"Washington County, Florida",3255,12,133,12133
"Appling County, Georgia",2959,13,001,13001
"Atkinson County, Georgia",1845,13,003,13003
"Bacon County, Georgia",1541,13,005,13005
"Baker County, Georgia",479,13,007,13007
"Baldwin County, Georgia",4809,13,009,13009
"Banks County, Georgia",2210,13,011,13011
"Barrow County, Georgia",13353,13,013,13013
"Bartow County, Georgia",16055,13,015,13015
"Ben Hill County, Georgia",3152,13,017,13017
"Berrien County, Georgia",3371,13,019,13019
"Bibb County, Georgia",20810,13,021,13021
"Bleckley County, Georgia",1250,13,023,13023
"Brantley County, Georgia",3025,13,025,13025
"Brooks County, Georgia",2511,13,027,13027
"Bryan County, Georgia",3826,13,029,13029
"Bulloch County, Georgia",9578,13,031,13031
"Burke County, Georgia",2758,13,033,13033
"Butts County, Georgia",2806,13,035,13035
"Calhoun County, Georgia",444,13,037,13037
"Camden County, Georgia",4547,13,039,13039
"Candler County, Georgia",1847,13,043,13043
"Carroll County, Georgia",15232,13,045,13045
"Catoosa County, Georgia",7045,13,047,13047
"Charlton County, Georgia",2089,13,049,13049
"Chatham County, Georgia",37922,13,051,13051
"Chattahoochee County, Georgia",204,13,053,13053
"Chattooga County, Georgia",2840,13,055,13055
"Cherokee County, Georgia",29501,13,057,13057
"Clarke County, Georgia",14252,13,059,13059
"Clay County, Georgia",193,13,061,13061
"Clayton County, Georgia",52356,13,063,13063
"Clinch County, Georgia",1494,13,065,13065
"Cobb County, Georgia",92967,13,067,13067
"Coffee County, Georgia",7367,13,069,13069
"Colquitt County, Georgia",9447,13,071,13071
"Columbia County, Georgia",13838,13,073,13073
"Cook County, Georgia",3005,13,075,13075
"Coweta County, Georgia",12450,13,077,13077
"Crawford County, Georgia",1424,13,079,13079
"Crisp County, Georgia",3154,13,081,13081
"Dade County, Georgia",1663,13,083,13083
"Dawson County, Georgia",3730,13,085,13085
"Decatur County, Georgia",4198,13,087,13087
"DeKalb County, Georgia",98546,13,089,13089
"Dodge County, Georgia",2956,13,091,13091
"Dooly County, Georgia",1472,13,093,13093
"Dougherty County, Georgia",11455,13,095,13095
"Douglas County, Georgia",17321,13,097,13097
"Early County, Georgia",1840,13,099,13099
"Echols County, Georgia",779,13,101,13101
"Effingham County, Georgia",6366,13,103,13103
"Elbert County, Georgia",2208,13,105,13105
"Emanuel County, Georgia",3681,13,107,13107
"Evans County, Georgia",1738,13,109,13109
"Fannin County, Georgia",3881,13,111,13111
"Fayette County, Georgia",9451,13,113,13113
"Floyd County, Georgia",13393,13,115,13115
"Forsyth County, Georgia",20492,13,117,13117
"Franklin County, Georgia",4370,13,119,13119
"Fulton County, Georgia",102420,13,121,13121
"Gilmer County, Georgia",4847,13,123,13123
"Glascock County, Georgia",330,13,125,13125
"Glynn County, Georgia",11808,13,127,13127
"Gordon County, Georgia",8714,13,129,13129
"Grady County, Georgia",4974,13,131,13131
"Greene County, Georgia",2991,13,133,13133
"Gwinnett County, Georgia",148129,13,135,13135
"Habersham County, Georgia",6362,13,137,13137
"Hall County, Georgia",34531,13,139,13139
"Hancock County, Georgia",564,13,141,13141
"Haralson County, Georgia",3650,13,143,13143
"Harris County, Georgia",2444,13,145,13145
"Hart County, Georgia",3418,13,147,13147
"Heard County, Georgia",1670,13,149,13149
"Henry County, Georgia",22441,13,151,13151
"Houston County, Georgia",17350,13,153,13153
"Irwin County, Georgia",1959,13,155,13155
"Jackson County, Georgia",9479,13,157,13157
"Jasper County, Georgia",1699,13,159,13159
"Jeff Davis County, Georgia",3225,13,161,13161
"Jefferson County, Georgia",2629,13,163,13163
"Jenkins County, Georgia",1305,13,165,13165
"Johnson County, Georgia",882,13,167,13167
"Jones County, Georgia",2194,13,169,13169
"Lamar County, Georgia",1925,13,171,13171
"Lanier County, Georgia",1469,13,173,13173
