"ENROLLMENT ID","ASSOCIATE ID","ORGANIZATION NAME","ASSOCIATE ID - OWNER","TYPE - OWNER","ROLE CODE - OWNER","ROLE TEXT - OWNER","ASSOCIATION DATE - OWNER","FIRST NAME - OWNER","MIDDLE NAME - OWNER","LAST NAME - OWNER","TITLE - OWNER","ORGANIZATION NAME - OWNER","DOING BUSINESS AS NAME - OWNER","ADDRESS LINE 1 - OWNER","ADDRESS LINE 2 - OWNER","CITY - OWNER","STATE - OWNER","ZIP CODE - OWNER","PERCENTAGE OWNERSHIP","CREATED FOR ACQUISITION - OWNER","CORPORATION - OWNER","LLC - OWNER","MEDICAL PROVIDER SUPPLIER - OWNER","MANAGEMENT SERVICES COMPANY - OWNER","MEDICAL STAFFING COMPANY - OWNER","HOLDING COMPANY - OWNER","INVESTMENT FIRM - OWNER","FINANCIAL INSTITUTION - OWNER","CONSULTING FIRM - OWNER","FOR PROFIT - OWNER","NON PROFIT - OWNER","OTHER TYPE - OWNER","OTHER TYPE TEXT - OWNER"
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,0244499226,I,40,CORPORATE OFFICER,02/27/2012,KEVIN,J,HAMMONS,PRESIDENT/BOARD MEMBER,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,0244499226,I,41,CORPORATE DIRECTOR,01/06/2020,KEVIN,J,HAMMONS,PRESIDENT/BOARD MEMBER,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,1153696836,I,41,CORPORATE DIRECTOR,07/15/2017,NATHANIEL,K,SUMMAR,VP REVENUE MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,1153716758,I,40,CORPORATE OFFICER,03/01/2022,JUSTIN,D,PITT,EXEC VP/ASSIST SEC/BOARD MEMBER,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,1153716758,I,41,CORPORATE DIRECTOR,03/01/2022,JUSTIN,D,PITT,EXEC VP/ASSIST SEC/BOARD MEMBER,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,2264488170,I,40,CORPORATE OFFICER,06/01/2018,WILLIAM,BRADLEY,CASH,EXEC VP,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,2567379332,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,06/01/2002,,,,,COMMUNITY HEALTH SYSTEMS INC,,4000 MERIDIAN BLVD,,FRANKLIN,TN,370676325,100.00,N,Y,N,N,N,N,N,N,N,N,N,N,N,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,3375765100,I,42,W-2 MANAGING EMPLOYEE,09/03/2015,HEATHER,LAVONNE,HYLTON,CFO,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,4688009012,I,40,CORPORATE OFFICER,01/06/2020,JASON,KEVIN,JOHNSON,SENIOR VP,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,5597190926,I,40,CORPORATE OFFICER,01/06/2020,ROMAN,GABRIEL,OTTINGER,SR. VP/ TREASURER,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,7810274743,I,41,CORPORATE DIRECTOR,04/01/2017,PAULA,M,LALOR,DIRECTOR PFS,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,8224415708,I,41,CORPORATE DIRECTOR,03/01/2022,EDNA,S,BUFFINGTON-PRICE,VP/AUTHORIZED OFFICIAL,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,8527482819,I,42,W-2 MANAGING EMPLOYEE,03/26/2020,JOSHUA,S,WEDGE,CEO,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,8921915794,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,12/31/2007,,,,,COMMUNITY HEALTH INVESTMENT COMPANY LLC,,4000 MERIDIAN BLVD,,FRANKLIN,TN,370676325,100.00,N,N,Y,N,N,N,N,N,N,N,N,N,N,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,9739326802,I,40,CORPORATE OFFICER,04/26/2013,CHRISTOPHER,G,COBB,VP/SECRETARY,,,,,,,,,,,,,,,,,,,,,,
O20021108000010,2062320468,OAK HILL HOSPITAL CORPORATION,9830006600,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,06/01/2002,,,,,CHS COMMUNITY HEALTH SYSTEMS INC,CHS/COMMUNITY HEALTH SYSTEMS INC,4000 MERIDIAN BLVD,,FRANKLIN,TN,370676325,100.00,N,Y,N,N,N,N,N,N,N,N,N,N,N,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,1658645643,I,41,CORPORATE DIRECTOR,11/15/2015,BRITNEY,,TEMPEL,,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,1951675776,I,40,CORPORATE OFFICER,01/09/2017,MATTHEW,,WALLER,CHIEF EXECUTIVE OFFICER,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,2062313729,I,40,CORPORATE OFFICER,05/08/2020,SHARI,M,DOLAN,CHIEF FINANCIAL OFFICER,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,2062313729,I,41,CORPORATE DIRECTOR,05/08/2020,SHARI,M,DOLAN,CHIEF FINANCIAL OFFICER,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,2062313729,I,42,W-2 MANAGING EMPLOYEE,05/08/2020,SHARI,M,DOLAN,CHIEF FINANCIAL OFFICER,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,5597099085,I,41,CORPORATE DIRECTOR,11/01/2018,KIRK,,SKARI,,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,7214150721,I,42,W-2 MANAGING EMPLOYEE,11/18/2004,NANCY,,KLEINSASSER,,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,7517247869,I,40,CORPORATE OFFICER,10/27/2015,LACEE,L.,LALUM,DIRECTOR OF FINANCE,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,7517247869,I,42,W-2 MANAGING EMPLOYEE,10/27/2015,LACEE,L.,LALUM,,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,7517247869,I,43,OPERATIONAL/MANAGERIAL CONTROL,10/27/2015,LACEE,L.,LALUM,,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,8628223955,I,41,CORPORATE DIRECTOR,12/01/2009,LARRY,,HENDRICKSON,,,,,,,,,,,,,,,,,,,,,,,
O20021113000024,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,9032332549,I,41,CORPORATE DIRECTOR,12/01/2013,MAUREEN,,WICKS,,,,,,,,,,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,0042632390,I,40,CORPORATE OFFICER,01/01/2020,RONALD,LYNN,SAXTON,EVP & GENERAL COUNSEL,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,0446169445,I,40,CORPORATE OFFICER,05/01/2021,JEFFREY,,SEIRER,SYSTEM VP FINANCIAL INTEGRITY/CONTR,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,0446540181,I,41,CORPORATE DIRECTOR,07/01/2016,KEVIN,G,MURPHY,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,0749401461,I,41,CORPORATE DIRECTOR,07/01/2016,CHARLOTTE,VIRGIA,DAVENPORT,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,1658536727,I,41,CORPORATE DIRECTOR,01/01/2011,LEONARD,W,KEARNEY,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,1951723204,I,42,W-2 MANAGING EMPLOYEE,03/01/2020,LYNN,,EVERTS,DIRECTOR OF CCO,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,3173774247,I,41,CORPORATE DIRECTOR,06/01/2017,DANNY,W,HOLLINGSHEAD,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,3870676968,I,41,CORPORATE DIRECTOR,01/21/2014,RICHARD,HARRY,WOLLENBERG,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,4082706353,I,40,CORPORATE OFFICER,01/20/2020,DARRIN,MITCHELL,MONTALVO,EVP CHIEF FINANCIAL /GROWTH OFFICER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,4587910823,I,41,CORPORATE DIRECTOR,07/01/2017,TIMOTHY,,ACKMAN,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,4789636275,I,41,CORPORATE DIRECTOR,01/01/2021,CAROLYN,,AARON,BOARD OF DIRECTOR,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,5092624296,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,11/19/2007,,,,,PEACEHEALTH,PEACEHEALTH HOSPICE,1115 SE 164TH AVE,,VANCOUVER,WA,986839324,100.00,N,N,N,N,N,N,N,N,N,N,N,Y,N,
O20021217000023,6709794092,PEACEHEALTH,5092624296,O,43,OPERATIONAL/MANAGERIAL CONTROL,11/19/2007,,,,,PEACEHEALTH,PEACEHEALTH HOSPICE,1115 SE 164TH AVE,,VANCOUVER,WA,986839324,100.00,,N,N,N,N,N,N,N,N,N,N,Y,N,
O20021217000023,6709794092,PEACEHEALTH,5799693842,I,40,CORPORATE OFFICER,12/01/2015,ELIZABETH,V,DUNNE,PRESIDENT,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,5799693842,I,42,W-2 MANAGING EMPLOYEE,12/01/2015,ELIZABETH,V,DUNNE,PRESIDENT,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,6709191760,I,41,CORPORATE DIRECTOR,09/24/2021,MARY,,MCWILLIAMS,BOARD OF DIRECTOR,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,6800700246,I,41,CORPORATE DIRECTOR,07/01/2015,KATHLEEN,LEE,PRUITT,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,8123932563,I,41,CORPORATE DIRECTOR,07/01/2015,ANDREA,C,NENZEL,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,9335031749,I,41,CORPORATE DIRECTOR,07/01/2016,TODD,ALAN,STRUMWASSER,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,9436061280,I,41,CORPORATE DIRECTOR,07/01/2016,KARL,JOSEPH,CARRIER,BOARD MEMBER,,,,,,,,0.00,,,,,,,,,,,,,,
O20021217000023,6709794092,PEACEHEALTH,9436383031,I,41,CORPORATE DIRECTOR,07/01/2019,DONNA,,KING,BOARD OF DIRECTOR,,,,,,,,0.00,,,,,,,,,,,,,,
