facility_id,stroke_measure_name,stroke_score,compared_to_national
010001,Death rate for stroke patients,13.5,No Different Than the National Rate
010005,Death rate for stroke patients,12.9,No Different Than the National Rate
010006,Death rate for stroke patients,12.4,No Different Than the National Rate
010007,Death rate for stroke patients,Not Available,Number of Cases Too Small
010008,Death rate for stroke patients,Not Available,Number of Cases Too Small
010011,Death rate for stroke patients,12.8,No Different Than the National Rate
010012,Death rate for stroke patients,Not Available,Number of Cases Too Small
010016,Death rate for stroke patients,16,No Different Than the National Rate
010018,Death rate for stroke patients,Not Available,Not Available
010019,Death rate for stroke patients,13.3,No Different Than the National Rate
010021,Death rate for stroke patients,Not Available,Number of Cases Too Small
010022,Death rate for stroke patients,Not Available,Not Available
010023,Death rate for stroke patients,16.7,Worse Than the National Rate
010024,Death rate for stroke patients,14.3,No Different Than the National Rate
010029,Death rate for stroke patients,14.5,No Different Than the National Rate
010033,Death rate for stroke patients,14.5,No Different Than the National Rate
010034,Death rate for stroke patients,Not Available,Number of Cases Too Small
010035,Death rate for stroke patients,14.3,No Different Than the National Rate
010036,Death rate for stroke patients,12.5,No Different Than the National Rate
010039,Death rate for stroke patients,12.8,No Different Than the National Rate
010040,Death rate for stroke patients,12.9,No Different Than the National Rate
010044,Death rate for stroke patients,Not Available,Number of Cases Too Small
010045,Death rate for stroke patients,Not Available,Number of Cases Too Small
010046,Death rate for stroke patients,14.4,No Different Than the National Rate
010049,Death rate for stroke patients,16.1,No Different Than the National Rate
010051,Death rate for stroke patients,Not Available,Not Available
010052,Death rate for stroke patients,Not Available,Number of Cases Too Small
010055,Death rate for stroke patients,13.8,No Different Than the National Rate
010056,Death rate for stroke patients,13.1,No Different Than the National Rate
010058,Death rate for stroke patients,Not Available,Not Available
010059,Death rate for stroke patients,Not Available,Number of Cases Too Small
010061,Death rate for stroke patients,13.6,No Different Than the National Rate
010062,Death rate for stroke patients,Not Available,Not Available
010065,Death rate for stroke patients,Not Available,Number of Cases Too Small
010073,Death rate for stroke patients,Not Available,Number of Cases Too Small
010078,Death rate for stroke patients,12.9,No Different Than the National Rate
010079,Death rate for stroke patients,19,No Different Than the National Rate
010083,Death rate for stroke patients,13.1,No Different Than the National Rate
010085,Death rate for stroke patients,13.5,No Different Than the National Rate
010086,Death rate for stroke patients,Not Available,Number of Cases Too Small
010087,Death rate for stroke patients,13.5,No Different Than the National Rate
010089,Death rate for stroke patients,15.1,No Different Than the National Rate
010090,Death rate for stroke patients,14.2,No Different Than the National Rate
010091,Death rate for stroke patients,Not Available,Number of Cases Too Small
010092,Death rate for stroke patients,15.8,No Different Than the National Rate
010095,Death rate for stroke patients,Not Available,Number of Cases Too Small
010097,Death rate for stroke patients,Not Available,Number of Cases Too Small
010099,Death rate for stroke patients,Not Available,Number of Cases Too Small
010100,Death rate for stroke patients,14,No Different Than the National Rate
010101,Death rate for stroke patients,Not Available,Number of Cases Too Small
010102,Death rate for stroke patients,Not Available,Not Available
010103,Death rate for stroke patients,13.3,No Different Than the National Rate
010104,Death rate for stroke patients,13.2,No Different Than the National Rate
010108,Death rate for stroke patients,13.2,No Different Than the National Rate
010110,Death rate for stroke patients,Not Available,Not Available
010112,Death rate for stroke patients,Not Available,Number of Cases Too Small
010113,Death rate for stroke patients,15.1,No Different Than the National Rate
010114,Death rate for stroke patients,Not Available,Number of Cases Too Small
010118,Death rate for stroke patients,16.9,No Different Than the National Rate
010120,Death rate for stroke patients,Not Available,Number of Cases Too Small
010125,Death rate for stroke patients,Not Available,Number of Cases Too Small
010126,Death rate for stroke patients,Not Available,Number of Cases Too Small
010128,Death rate for stroke patients,Not Available,Number of Cases Too Small
010129,Death rate for stroke patients,Not Available,Number of Cases Too Small
010130,Death rate for stroke patients,Not Available,Number of Cases Too Small
010131,Death rate for stroke patients,13.4,No Different Than the National Rate
010138,Death rate for stroke patients,Not Available,Not Available
010139,Death rate for stroke patients,16.5,No Different Than the National Rate
