county_full_name,population,state_fips,county_fips
"Autauga County, Alabama",59285,01,01001
"Baldwin County, Alabama",239945,01,01003
"Barbour County, Alabama",24757,01,01005
"Bibb County, Alabama",22152,01,01007
"Blount County, Alabama",59292,01,01009
"Bullock County, Alabama",10157,01,01011
"Butler County, Alabama",18807,01,01013
"Calhoun County, Alabama",116141,01,01015
"Chambers County, Alabama",34450,01,01017
"Cherokee County, Alabama",25224,01,01019
"Chilton County, Alabama",45500,01,01021
"Choctaw County, Alabama",12525,01,01023
"Clarke County, Alabama",22802,01,01025
"Clay County, Alabama",14188,01,01027
"Cleburne County, Alabama",15254,01,01029
"Coffee County, Alabama",54231,01,01031
"Colbert County, Alabama",57648,01,01033
"Conecuh County, Alabama",11411,01,01035
"Coosa County, Alabama",10323,01,01037
"Covington County, Alabama",37647,01,01039
"Crenshaw County, Alabama",13144,01,01041
"Cullman County, Alabama",89463,01,01043
"Dale County, Alabama",49516,01,01045
"Dallas County, Alabama",37536,01,01047
"DeKalb County, Alabama",71946,01,01049
"Elmore County, Alabama",88669,01,01051
"Escambia County, Alabama",36695,01,01053
"Etowah County, Alabama",103208,01,01055
"Fayette County, Alabama",16173,01,01057
"Franklin County, Alabama",31978,01,01059
"Geneva County, Alabama",26726,01,01061
"Greene County, Alabama",7589,01,01063
"Hale County, Alabama",14749,01,01065
"Henry County, Alabama",17450,01,01067
"Houston County, Alabama",107628,01,01069
"Jackson County, Alabama",52839,01,01071
"Jefferson County, Alabama",669744,01,01073
"Lamar County, Alabama",13809,01,01075
"Lauderdale County, Alabama",95037,01,01077
"Lawrence County, Alabama",33182,01,01079
"Lee County, Alabama",177663,01,01081
"Limestone County, Alabama",107577,01,01083
"Lowndes County, Alabama",10008,01,01085
"Macon County, Alabama",18951,01,01087
"Madison County, Alabama",397135,01,01089
"Marengo County, Alabama",19027,01,01091
"Marion County, Alabama",29190,01,01093
"Marshall County, Alabama",98712,01,01095
"Mobile County, Alabama",413162,01,01097
"Monroe County, Alabama",19580,01,01099
"Montgomery County, Alabama",227197,01,01101
"Morgan County, Alabama",123742,01,01103
"Perry County, Alabama",8231,01,01105
"Pickens County, Alabama",18843,01,01107
"Pike County, Alabama",32953,01,01109
"Randolph County, Alabama",22310,01,01111
"Russell County, Alabama",58858,01,01113
"St. Clair County, Alabama",92903,01,01115
"Shelby County, Alabama",226955,01,01117
"Sumter County, Alabama",12020,01,01119
"Talladega County, Alabama",81170,01,01121
"Tallapoosa County, Alabama",41070,01,01123
"Tuscaloosa County, Alabama",234036,01,01125
"Walker County, Alabama",64886,01,01127
"Washington County, Alabama",15270,01,01129
"Wilcox County, Alabama",10347,01,01131
"Winston County, Alabama",23637,01,01133
"Aleutians East Borough, Alaska",3423,02,02013
"Aleutians West Census Area, Alaska",5178,02,02016
"Anchorage Municipality, Alaska",289069,02,02020
"Bethel Census Area, Alaska",18487,02,02050
"Bristol Bay Borough, Alaska",878,02,02060
"Chugach Census Area, Alaska",6964,02,02063
