state,n_counties,total_population,mean_care_gap_index,mean_stroke_mortality,mean_uninsured_rate,total_hospitals,hospitals_per_100k,state_rank
TX,161,29209664.0,0.7300964673394758,87.81304347826087,17.006211180124225,144.0,0.49298752632005627,1.0
MS,67,2837268.0,0.6844197147493405,109.41194029850747,12.053731343283582,28.0,0.9868648291243548,2.0
OK,57,3880124.0,0.6647085897313052,79.74035087719298,14.542105263157895,33.0,0.8504882833641398,3.0
GA,124,10588552.0,0.6550916073386842,92.16048387096774,13.431451612903226,64.0,0.6044263653802711,4.0
AL,65,5038433.0,0.6098156608941396,102.11384615384615,9.566153846153846,37.0,0.7343553045163049,5.0
TN,87,6930160.0,0.6031088329960883,89.72068965517241,10.229885057471265,48.0,0.6926247013055975,6.0
MO,85,5961981.0,0.5904024499844316,79.10117647058824,10.831764705882353,48.0,0.8051015258183479,7.0
AR,61,2926699.0,0.5903270496365928,96.91803278688525,8.680327868852459,25.0,0.8542046858935614,8.0
AZ,14,7258723.0,0.5900175247415026,71.13571428571429,11.828571428571427,42.0,0.5786141722173446,9.0
LA,56,4559407.0,0.5867069148565439,100.375,7.482142857142857,29.0,0.6360476263689555,10.0
SC,43,5132581.0,0.5772356334483973,94.93255813953488,10.767441860465116,41.0,0.7988183722770279,11.0
NC,96,10559053.0,0.5649347561732742,93.090625,10.81875,78.0,0.7387026090313212,12.0
AK,9,643239.0,0.5545068720700789,73.17777777777778,10.866666666666667,7.0,1.0882424728600102,13.0
NV,9,3104124.0,0.5484775683418669,79.72222222222223,9.155555555555557,17.0,0.547658534259585,14.0
WY,15,524832.0,0.5462080190831539,59.03333333333333,11.68,6.0,1.1432229742088897,15.0
FL,65,21913196.0,0.5459293175563898,92.20923076923077,12.172307692307694,141.0,0.6434479023507114,16.0
ID,29,1809362.0,0.540877390576004,68.96206896551725,11.168965517241379,13.0,0.7184853003434359,17.0
NM,25,2083448.0,0.5234152595965481,68.664,9.192,9.0,0.43197622402862945,18.0
KS,39,2631510.0,0.5232106198257536,71.43333333333334,8.869230769230768,23.0,0.8740228993999644,19.0
DE,3,1005872.0,0.5217960220445477,111.93333333333334,6.533333333333334,6.0,0.596497367458285,20.0
UT,20,3283587.0,0.506118431257528,64.60499999999999,9.15,10.0,0.30454499911225136,21.0
IN,86,6761786.0,0.5050842026373474,84.13953488372093,7.770930232558139,59.0,0.8725505362044881,22.0
MT,21,951171.0,0.49652280959329204,57.88095238095238,11.223809523809523,11.0,1.1564692363413098,23.0
OH,88,11780046.0,0.49217689176579466,90.48068181818182,6.8931818181818185,86.0,0.7300480830040902,24.0
KY,99,4360263.0,0.48412089718493495,89.74343434343434,6.217171717171717,33.0,0.7568350808196661,25.0
CO,37,5680709.0,0.47453586439368833,64.37297297297297,8.55135135135135,31.0,0.5457065306460867,26.0
WV,43,1697042.0,0.4721173169182569,80.69302325581396,6.404651162790697,17.0,1.0017430328772063,27.0
VA,115,8541521.0,0.4707148136714444,85.82434782608695,6.998260869565217,63.0,0.7375735539372905,28.0
SD,18,697301.0,0.4704480426130105,60.71666666666667,10.294444444444444,9.0,1.290690820750293,29.0
ND,14,633496.0,0.4642316375697089,60.778571428571425,8.22857142857143,6.0,0.9471251594327352,30.0
NE,26,1676908.0,0.45976953910547913,67.26153846153846,7.357692307692308,16.0,0.9541370188465914,31.0
ME,16,1377400.0,0.4469216156080995,61.19375,7.69375,15.0,1.0890082764629012,32.0
WA,35,7722763.0,0.44619457210281965,72.4342857142857,7.431428571428572,48.0,0.6215392081823565,33.0
OR,29,4202831.0,0.4416068580285796,88.40344827586206,6.793103448275862,37.0,0.8803589770799729,34.0
MI,75,9994429.0,0.4402190862076778,87.37333333333333,5.8373333333333335,71.0,0.7103957614787197,35.0
IL,87,12607370.0,0.4302573854750315,84.5,5.571264367816092,80.0,0.6345494738395081,36.0
CA,55,39229713.0,0.41147584547491095,82.4509090909091,6.569090909090909,200.0,0.5098176476590588,37.0
HI,4,1445592.0,0.40842475048086346,82.45,4.05,10.0,0.6917581170897459,38.0
MD,24,6170738.0,0.40306137525007074,90.95,5.158333333333333,35.0,0.5671930974868808,39.0
WI,67,5860353.0,0.39386214748847975,66.42537313432835,5.856716417910447,55.0,0.9385100180825284,40.0
PA,64,12969409.0,0.38052172463683975,66.5625,6.0859375,102.0,0.7864660602499313,41.0
MN,66,5567591.0,0.3731071887108432,62.080303030303035,5.224242424242425,33.0,0.5927159520158718,42.0
DC,1,672079.0,0.3673907246706772,80.1,3.4,0.0,0.0,43.0
IA,72,2983970.0,0.3482957826527336,62.34305555555555,4.7875,30.0,1.0053720379226334,44.0
PR,74,3231491.0,0.3393816403661375,42.72162162162162,5.718918918918919,0.0,0.0,45.0
NH,10,1387834.0,0.3193392971534483,60.410000000000004,5.92,18.0,1.2969850861126042,46.0
NJ,21,9267014.0,0.30369013369184383,61.04761904761905,6.757142857142857,55.0,0.593502934170597,47.0
NY,61,19867217.0,0.29335557875018686,54.416393442622955,4.7098360655737705,102.0,0.5134085966846791,48.0
VT,12,631889.0,0.2875069737382649,55.40833333333333,4.241666666666666,9.0,1.4243007870053126,49.0
RI,5,1095371.0,0.24121198082565312,55.02,3.46,7.0,0.639052887104004,50.0
MA,14,6992395.0,0.20526894280368288,51.48571428571428,3.0214285714285714,48.0,0.6864600755535121,51.0
