county_fips,county_name,state,population,hospitals_reporting,stroke_mortality_rate,uninsured_rate,care_gap_index,SCAI,data_status,category,national_rank
36059,Nassau County,NY,1388138.0,9.0,49.5,54409.0,0.0,1.0,VALID,Highest Access,1.0
34025,Monmouth County,NJ,643615.0,5.0,65.8,33033.0,0.1769186852449914,0.8230813147550086,VALID,Highest Access,2.0
06037,Los Angeles County,CA,9848406.0,48.0,68.0,849903.0,0.1800445416762974,0.8199554583237025,VALID,Highest Access,3.0
37119,Mecklenburg County,NC,1130906.0,7.0,80.4,130354.0,0.198931483186886,0.801068516813114,VALID,Highest Access,4.0
12099,Palm Beach County,FL,1507453.0,11.0,87.7,196856.0,0.1998231294304748,0.8001768705695251,VALID,Highest Access,5.0
17031,Cook County,IL,5185812.0,31.0,83.0,460523.0,0.2065831492422801,0.79341685075772,VALID,Highest Access,6.0
33011,Hillsborough County,NH,424732.0,5.0,55.6,25097.0,0.2111683763547919,0.788831623645208,VALID,Highest Access,7.0
24510,Baltimore City,MD,577193.0,10.0,117.4,32918.0,0.2337073075302278,0.7662926924697722,VALID,Highest Access,8.0
36103,Suffolk County,NY,1525680.0,9.0,48.2,70146.0,0.2567172949547936,0.7432827050452064,VALID,Highest Access,9.0
51678,Lexington City,VA,7420.0,1.0,79.9,152.0,0.2575295708162251,0.7424704291837749,VALID,Highest Access,10.0
39035,Cuyahoga County,OH,1249418.0,12.0,79.6,68133.0,0.2590364151016515,0.7409635848983485,VALID,Highest Access,11.0
24031,Montgomery County,MD,1057586.0,6.0,59.7,71671.0,0.274641756549637,0.7253582434503629,VALID,Highest Access,12.0
12115,Sarasota County,FL,449011.0,4.0,53.6,44275.0,0.2754828541601986,0.7245171458398014,VALID,Highest Access,13.0
36047,Kings County,NY,2646306.0,8.0,39.0,154971.0,0.2789258155247199,0.72107418447528,VALID,Highest Access,14.0
42003,Allegheny County,PA,1240476.0,12.0,68.0,47992.0,0.284193691669266,0.715806308330734,VALID,Highest Access,15.0
25013,Hampden County,MA,462853.0,5.0,61.7,14376.0,0.2858019883834449,0.7141980116165552,VALID,Highest Access,16.0
06045,Mendocino County,CA,90709.0,3.0,66.9,7335.0,0.2866602150357523,0.7133397849642478,VALID,Highest Access,17.0
25017,Middlesex County,MA,1622896.0,10.0,42.0,39085.0,0.2902962307722005,0.7097037692277994,VALID,Highest Access,18.0
42107,Schuylkill County,PA,143259.0,3.0,68.6,8638.0,0.2930207758528255,0.7069792241471744,VALID,Highest Access,19.0
12103,Pinellas County,FL,960565.0,9.0,64.7,101577.0,0.2937145846636341,0.7062854153363659,VALID,Highest Access,20.0
25009,Essex County,MA,807258.0,5.0,51.5,22481.0,0.2941768981748726,0.7058231018251273,VALID,Highest Access,21.0
25023,Plymouth County,MA,531889.0,3.0,52.7,12993.0,0.2978961217094557,0.7021038782905442,VALID,Highest Access,22.0
55085,Oneida County,WI,38007.0,2.0,66.9,1809.0,0.2979102971707919,0.7020897028292081,VALID,Highest Access,23.0
12011,Broward County,FL,1946127.0,12.0,114.0,256243.0,0.2990484431597807,0.7009515568402193,VALID,Highest Access,24.0
19109,Kossuth County,IA,14610.0,1.0,51.5,557.0,0.303316388351833,0.696683611648167,VALID,Highest Access,25.0
