county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
02013,Aleutians East,AK,18.7,1194.0,223.278,3423.0,AK,ALEUTIANS EAST,0.0,,-1.0,5.412886353791063,0.0,5.412886353791063,0.39731844208866507,0.6026815579113349,INSUFFICIENT DATA,,
02016,Aleutians West,AK,21.0,906.0,190.26,5178.0,AK,ALEUTIANS WEST,0.0,,-1.0,5.253633758921397,0.0,5.253633758921397,0.38562893139944143,0.6143710686005586,INSUFFICIENT DATA,,
02020,Anchorage,AK,71.4,27758.0,19819.212000000003,289069.0,AK,ANCHORAGE,3.0,13.666666666666666,0.0,9.894457504093172,0.0,9.894457504093172,0.7262761831468051,0.2737238168531949,VALID,2373.0,Lowest Access
02050,Bethel,AK,164.9,2343.0,3863.607,18487.0,AK,BETHEL,0.0,,-1.0,8.259615274092203,0.0,8.259615274092203,0.606274962831176,0.393725037168824,VALID,1981.0,Low Access
02068,Denali,AK,82.4,101.0,83.22400000000002,2029.0,AK,DENALI,0.0,,-1.0,4.433479916262797,0.0,4.433479916262797,0.3254277326785556,0.6745722673214444,INSUFFICIENT DATA,,
02070,Dillingham,AK,165.3,798.0,1319.0940000000005,4780.0,AK,DILLINGHAM,0.0,,-1.0,7.185458225166166,0.0,7.185458225166166,0.5274293382710109,0.4725706617289891,INSUFFICIENT DATA,,
02090,Fairbanks North Star,AK,76.8,7752.0,5953.536,95555.0,AK,FAIRBANKS NORTH STAR,1.0,14.5,0.0,8.691908561037453,0.0,8.691908561037453,0.6380062950757887,0.36199370492421135,VALID,2153.0,Low Access
02100,Haines,AK,46.7,177.0,82.65899999999999,2077.0,AK,HAINES,0.0,,-1.0,4.426749012798936,0.0,4.426749012798936,0.3249336687165001,0.6750663312834999,INSUFFICIENT DATA,,
02105,Hoonah-Angoon,AK,59.9,480.0,287.52,2313.0,AK,HOONAH-ANGOON,0.0,,-1.0,5.664764407635472,0.0,5.664764407635472,0.4158068767996016,0.5841931232003984,INSUFFICIENT DATA,,
02110,Juneau,AK,45.6,2490.0,1135.44,31969.0,AK,JUNEAU,1.0,12.3,1.0,7.035655848234203,0.6931471805599453,5.134353196621613,0.3768734608266633,0.6231265391733367,VALID,127.0,Highest Access
02122,Kenai Peninsula,AK,57.7,6841.0,3947.257,59843.0,AK,KENAI PENINSULA,1.0,14.4,-0.3333333333333333,8.281029494685969,0.0,8.281029494685969,0.6078468164059141,0.3921531835940859,VALID,1985.0,Low Access
02130,Ketchikan Gateway,AK,28.1,1290.0,362.49,13870.0,AK,KETCHIKAN GATEWAY,0.0,,-1.0,5.895751786278789,0.0,5.895751786278789,0.4327618873847453,0.5672381126152547,VALID,373.0,Good Access
02150,Kodiak Island,AK,54.0,1214.0,655.56,12878.0,AK,KODIAK ISLAND,0.0,,-1.0,6.487014083321456,0.0,6.487014083321456,0.47616191453702894,0.5238380854629711,VALID,698.0,Good Access
02158,Kusilvak,AK,34.2,924.0,316.00800000000004,8277.0,AK,KUSILVAK,0.0,,-1.0,5.758927010151903,0.0,5.758927010151903,0.422718630730781,0.577281369269219,INSUFFICIENT DATA,,
02164,Lake and Peninsula,AK,44.4,315.0,139.86,1007.0,AK,LAKE AND PENINSULA,0.0,,-1.0,4.947766489317265,0.0,4.947766489317265,0.3631775627391863,0.6368224372608138,INSUFFICIENT DATA,,
02170,Matanuska-Susitna,AK,82.5,13131.0,10833.075,110677.0,AK,MATANUSKA-SUSITNA,1.0,12.6,1.0,9.290451538844797,0.6931471805599453,6.779817061190926,0.4976543338124753,0.5023456661875247,VALID,887.0,Good Access
02180,Nome,AK,84.6,1457.0,1232.622,9925.0,AK,NOME,0.0,,-1.0,7.117709836631883,0.0,7.117709836631883,0.5224564490531158,0.47754355094688417,INSUFFICIENT DATA,,
02185,North Slope,AK,77.6,1555.0,1206.6799999999998,10891.0,AK,NORTH SLOPE,0.0,,-1.0,7.096456442740131,0.0,7.096456442740131,0.5208964005321907,0.47910359946780934,VALID,1145.0,Moderate Access
