county_fips,county_name,state,population,hospitals_reporting,stroke_mortality_rate,uninsured_rate,care_gap_index,SCAI,data_status,category,national_rank
48201,Harris County,TX,4758579.0,17.0,82.4,1001621.0,1.0,0.0,VALID,Lowest Access,2475.0
48113,Dallas County,TX,2603816.0,12.0,85.9,558424.0,0.960167702097144,0.039832297902856,VALID,Lowest Access,2474.0
48439,Tarrant County,TX,2135743.0,14.0,90.7,351295.0,0.9301375175211654,0.0698624824788346,VALID,Lowest Access,2473.0
04013,Maricopa County,AZ,4491987.0,23.0,65.9,476735.0,0.9291036886097752,0.0708963113902249,VALID,Lowest Access,2472.0
48029,Bexar County,TX,2037344.0,5.0,92.4,316738.0,0.9238996783942192,0.0761003216057807,VALID,Lowest Access,2471.0
32003,Clark County,NV,2293764.0,11.0,71.1,273855.0,0.8939871970040404,0.1060128029959596,VALID,Lowest Access,2470.0
12095,Orange County,FL,1440471.0,3.0,102.3,176313.0,0.888370803439332,0.111629196560668,VALID,Lowest Access,2469.0
06071,San Bernardino County,CA,2187816.0,7.0,88.1,181725.0,0.8796210475980331,0.1203789524019669,VALID,Lowest Access,2468.0
06059,Orange County,CA,3164063.0,12.0,70.7,213959.0,0.8754564387693206,0.1245435612306794,VALID,Lowest Access,2467.0
48453,Travis County,TX,1307625.0,5.0,69.3,158906.0,0.8521534194548916,0.1478465805451083,VALID,Lowest Access,2466.0
47157,Shelby County,TN,922195.0,4.0,99.9,110111.0,0.8520727433215619,0.1479272566784381,VALID,Lowest Access,2465.0
37183,Wake County,NC,1151009.0,3.0,112.6,93307.0,0.848702008826881,0.151297991173119,VALID,Lowest Access,2464.0
48141,El Paso County,TX,866275.0,5.0,57.0,183701.0,0.848454194382895,0.1515458056171049,VALID,Lowest Access,2463.0
24033,Prince George's County,MD,955584.0,0.0,95.3,106144.0,0.8459193262280285,0.1540806737719715,VALID,Lowest Access,2462.0
39049,Franklin County,OH,1321635.0,7.0,87.6,110219.0,0.8425005609460606,0.1574994390539393,VALID,Lowest Access,2461.0
42101,Philadelphia County,PA,1582432.0,9.0,79.8,112579.0,0.8372103953780652,0.1627896046219348,VALID,Lowest Access,2460.0
40109,Oklahoma County,OK,800487.0,7.0,77.7,109306.0,0.8330872757454634,0.1669127242545366,VALID,Lowest Access,2459.0
48061,Cameron County,TX,423192.0,3.0,72.3,112632.0,0.8300002643621668,0.1699997356378332,VALID,Lowest Access,2458.0
47037,Davidson County,TN,709846.0,6.0,93.3,86914.0,0.829691188265342,0.1703088117346579,VALID,Lowest Access,2457.0
40143,Tulsa County,OK,673708.0,6.0,87.6,92200.0,0.8293977218101402,0.1706022781898598,VALID,Lowest Access,2456.0
49035,Salt Lake County,UT,1184689.0,4.0,67.3,112768.0,0.824828611642381,0.175171388357619,VALID,Lowest Access,2455.0
13089,DeKalb County,GA,762105.0,0.0,72.7,98546.0,0.8205986384680539,0.179401361531946,VALID,Lowest Access,2454.0
48339,Montgomery County,TX,654722.0,3.0,73.9,95943.0,0.8198354312039685,0.1801645687960315,VALID,Lowest Access,2453.0
18097,Marion County,IN,971822.0,7.0,81.0,86460.0,0.8189299486323477,0.1810700513676523,VALID,Lowest Access,2452.0
48121,Denton County,TX,945644.0,4.0,68.4,101273.0,0.8181270584753595,0.1818729415246405,VALID,Lowest Access,2451.0
48157,Fort Bend County,TX,859721.0,3.0,66.8,101579.0,0.8166111197037994,0.1833888802962006,VALID,Lowest Access,2450.0
48355,Nueces County,TX,352829.0,2.0,99.4,60885.0,0.8082139552152752,0.1917860447847248,VALID,Lowest Access,2449.0
06019,Fresno County,CA,1012152.0,3.0,85.6,70433.0,0.8079356353732634,0.1920643646267366,VALID,Lowest Access,2448.0
06029,Kern County,CA,910433.0,4.0,82.9,69712.0,0.8048278589221072,0.1951721410778928,VALID,Lowest Access,2447.0
13063,Clayton County,GA,298771.0,1.0,107.3,52356.0,0.8027497039704363,0.1972502960295636,VALID,Lowest Access,2446.0
55079,Milwaukee County,WI,927656.0,5.0,80.3,65560.0,0.7979815899509306,0.2020184100490694,VALID,Lowest Access,2445.0
12086,Miami-Dade County,FL,2685296.0,10.0,103.4,381592.0,0.7963130595295057,0.2036869404704943,VALID,Lowest Access,2444.0
39113,Montgomery County,OH,535528.0,4.0,148.0,34484.0,0.7957041320484227,0.2042958679515772,VALID,Lowest Access,2443.0
53053,Pierce County,WA,924106.0,5.0,94.0,54192.0,0.7955661645320925,0.2044338354679075,VALID,Lowest Access,2442.0
32031,Washoe County,NV,491770.0,4.0,103.3,47539.0,0.7928767369101408,0.2071232630898591,VALID,Lowest Access,2441.0
39061,Hamilton County,OH,827878.0,6.0,101.7,47650.0,0.7919021303800956,0.2080978696199044,VALID,Lowest Access,2440.0
35001,Bernalillo County,NM,674357.0,3.0,83.2,57229.0,0.7906101425917327,0.2093898574082673,VALID,Lowest Access,2439.0
06085,Santa Clara County,CA,1903297.0,6.0,62.8,75322.0,0.7901271081853355,0.2098728918146645,VALID,Lowest Access,2438.0
48027,Bell County,TX,379811.0,3.0,89.0,51199.0,0.787384051933594,0.212615948066406,VALID,Lowest Access,2437.0
48491,Williamson County,TX,643889.0,4.0,73.0,60678.0,0.7853056574176631,0.2146943425823368,VALID,Lowest Access,2436.0
20173,Sedgwick County,KS,524810.0,3.0,74.6,56522.0,0.7816891949724799,0.2183108050275201,VALID,Lowest Access,2435.0
48303,Lubbock County,TX,314633.0,2.0,99.1,42535.0,0.781666166101559,0.2183338338984409,VALID,Lowest Access,2434.0
10003,New Castle County,DE,573030.0,2.0,131.0,32007.0,0.7812767939637622,0.2187232060362378,VALID,Lowest Access,2433.0
08031,Denver County,CO,713734.0,2.0,67.2,62025.0,0.7808407083404628,0.2191592916595371,VALID,Lowest Access,2432.0
45045,Greenville County,SC,537575.0,4.0,77.3,53711.0,0.7805545196099007,0.2194454803900992,VALID,Lowest Access,2431.0
17043,DuPage County,IL,927263.0,0.0,85.6,48447.0,0.7804696628581306,0.2195303371418694,VALID,Lowest Access,2430.0
22033,East Baton Rouge Parish,LA,452821.0,0.0,105.0,39159.0,0.7798409821189223,0.2201590178810777,VALID,Lowest Access,2429.0
08001,Adams County,CO,524408.0,2.0,71.0,57909.0,0.7798381972087094,0.2201618027912906,VALID,Lowest Access,2428.0
08041,El Paso County,CO,736008.0,2.0,81.0,49508.0,0.7780054404227982,0.2219945595772018,VALID,Lowest Access,2427.0
48167,Galveston County,TX,354721.0,1.0,82.2,48253.0,0.7772002280616552,0.2227997719383447,VALID,Lowest Access,2426.0
