county_name,state,care_gap_index,hospitals_reporting,stroke_mortality_rate,uninsured_rate,category
Holmes County,OH,1.0,0.0,82.3,42.3,Critical Gap
Jim Hogg County,TX,0.9759806636977404,0.0,101.8,31.3,Critical Gap
LaGrange County,IN,0.975504048285672,0.0,71.8,44.3,Critical Gap
Bailey County,TX,0.9726650241859984,0.0,93.4,33.7,Critical Gap
Bennett County,SD,0.9615169564992888,0.0,103.8,29.1,Critical Gap
Coleman County,TX,0.9411245621885568,0.0,102.6,27.3,Critical Gap
Gaines County,TX,0.9400299990959492,0.0,86.1,32.4,Critical Gap
Dillingham,AK,0.9388087686018496,0.0,165.3,16.8,Critical Gap
Polk County,TX,0.9359363412722704,0.0,173.9,15.8,Critical Gap
Starr County,TX,0.9227812386428326,0.0,83.6,31.3,Critical Gap
Daviess County,IN,0.913459825807749,0.0,107.1,23.6,Critical Gap
Clinch County,GA,0.9133736626540306,0.0,112.3,22.5,Critical Gap
Mellette County,SD,0.9127697755903198,0.0,89.4,28.2,Critical Gap
Lamb County,TX,0.9093066868545858,0.0,97.6,25.5,Critical Gap
Jackson County,SD,0.9079388533579628,0.0,84.8,29.2,Critical Gap
Liberty County,TX,0.9059181779381226,0.0,96.0,25.6,Critical Gap
Webster County,GA,0.9025942498292832,0.0,116.7,20.8,Critical Gap
Scotland County,MO,0.9003226876170944,0.0,71.0,33.9,Critical Gap
Hardee County,FL,0.8992571683884161,0.0,142.7,16.8,Critical Gap
Todd County,SD,0.8984323474669975,0.0,100.0,23.9,Critical Gap
Maverick County,TX,0.8910056799290071,0.0,94.5,24.6,Critical Gap
Floyd County,TX,0.8908327421502689,0.0,96.0,24.2,Critical Gap
Colquitt County,GA,0.889408282764373,1.0,111.1,20.8,Critical Gap
Newton County,TX,0.8871480615599932,0.0,108.6,21.1,Critical Gap
Swain County,NC,0.8869586871497067,0.0,98.7,23.2,Critical Gap
Marlboro County,SC,0.8866287289677652,0.0,162.2,14.1,Critical Gap
Hale County,TX,0.8851943911772598,0.0,96.8,23.5,Critical Gap
Claiborne County,MS,0.8841710749997376,0.0,125.2,18.1,Critical Gap
Sterling County,TX,0.882845105868549,0.0,87.4,25.8,Critical Gap
Crane County,TX,0.8810927803208883,0.0,97.4,23.0,Critical Gap
Crosby County,TX,0.8799631959005684,0.0,102.8,21.7,Critical Gap
Motley County,TX,0.8797280900454709,0.0,112.0,19.9,Critical Gap
Duval County,TX,0.8783808203985515,0.0,100.8,22.0,Critical Gap
Echols County,GA,0.8783711736432759,0.0,104.6,21.2,Critical Gap
Terry County,TX,0.8781395515612139,0.0,95.5,23.2,Critical Gap
Stewart County,GA,0.8779463864061721,0.0,123.0,18.0,Critical Gap
Trinity County,TX,0.8744757342936491,0.0,139.2,15.7,Critical Gap
Zapata County,TX,0.8717639184091158,0.0,78.1,27.7,Critical Gap
Yukon-Koyukuk,AK,0.8712819642342355,0.0,94.3,22.9,Critical Gap
Brooks County,TX,0.8704706534789542,0.0,93.2,23.1,Critical Gap
Camp County,TX,0.8701578871201912,0.0,96.0,22.4,Critical Gap
Davis County,IA,0.8698559591147152,0.0,75.9,28.3,Critical Gap
Jim Wells County,TX,0.8692100061006219,0.0,100.6,21.3,Critical Gap
San Saba County,TX,0.8686437259021901,0.0,83.2,25.7,Critical Gap
Humphreys County,MS,0.8677633418573496,0.0,148.0,14.4,Critical Gap
Bethel,AK,0.8672631400416176,0.0,164.9,12.9,Critical Gap
Rolette County,ND,0.8663469188159458,0.0,87.6,24.2,Critical Gap
Dawson County,TX,0.8651054256224876,0.0,94.2,22.4,Critical Gap
Wayne County,GA,0.8640615413746326,0.0,111.8,18.8,Critical Gap
Anson County,NC,0.8619722318940065,0.0,156.8,13.3,Critical Gap
