Case_ID,Hosp_Name,Hosp_Address,City,State,Action,Date_of_Action
1,Arkansas Heart Hospital,1701 South Shackleford Road,Little Rock,AR,Warning Notice,05/18/2021
25,Kell West Regional Hospital,5420 Kell Boulevard West,Wichita Falls,TX,Appealed,05/18/2023
563,Fulton County Hospital,679 North Main Street,Salem,AR,Appealed,08/16/2023
89,Community First Medical Center,5645 W Addison,Chicago,IL,Appealed,08/23/2023
1345,Hospital General Castañer,"Highway 135, km 4.5",Lares,PR,Appealed,09/19/2023
1462,Doctors' Center Hospital Bayamón,"Urb. Hermanas Dávila, Calle J #9",Bayamon,PR,Appealed,09/21/2023
1648,Samaritan Hospital - Albany Memorial Campus,600 Northern Blvd,Albany,NY,Appealed,09/21/2023
698,UF Health North,15255 Max Leggett Parkway,Jacksonville,FL,Appealed,09/22/2023
1613,Holy Cross Hospital,1500 Forest Glen Road,Silver Spring,MD,Appealed,10/05/2023
1384,West Covina Medical Center,725 S Orange Avenue,West Covina,CA,Appealed,12/05/2023
1111,Falls Community Hospital & Clinic,322 Coleman Street,Marlin,TX,Appealed,05/09/2024
287,Jackson Memorial Hospital,1611 NW 12th Ave,Miami,FL,Appealed,07/23/2024
334,Baytown Medical Center,1626 W Baker Rd,Baytown,TX,Appealed,01/21/2025
697,West Chase Houston Hospital,6011 W Sam Houston Pkwy South,Houston,TX,Appealed,01/21/2025
555,First Surgical Hospital,4801 Bissonet Street,Bellaire,TX,Appealed,01/29/2025
2674,D. W. Mcmillan Memorial Hospital,1301 Belleville Avenue,Brewton,AL,Appealed,02/11/2025
2879,Southeast Regional Medical Center,719 Avenue G,Kentwood,LA,Appealed,03/11/2025
1388,Hill Hospital of Sumter County,751 Derby Drive,York,AL,Appealed,03/24/2025
2553,Lawrence Rehabilitation Hospital,2381 Lawrenceville Road,Lawrenceville,NJ,Appealed,03/25/2025
2757,Northlake Behavioral Health System,23455 Sparrow Rd,Mandeville,LA,Appealed,03/25/2025
2,Westchester Medical Center,100 Woods Rd,Valhalla,NY,Warning Notice,05/18/2021
3,Mount Sinai Hospital,1 Gustave L Levy Place,New York,NY,Warning Notice,04/19/2021
4,Freedom Behavioral Hospital of Monroe,4402 Sterlington Road,Monroe,LA,Warning Notice,06/27/2023
5,Izard Regional Hospital,61 Grasse Street,Calico Rock,AR,Warning Notice,07/27/2022
6,Holland Hospital,602 Michigan Ave,Holland,MI,Warning Notice,07/27/2022
8,Memorial Hermann Greater Heights Hospital,1635 North Loop West,Houston,TX,Warning Notice,07/27/2022
9,UAMS Medical Center,4301 West Markham Street,Little Rock,AR,Warning Notice,02/09/2024
10,Bethesda Hospital East,2815 S Seacrest Blvd,Boynton Beach,FL,Warning Notice,01/31/2024
12,Alta Vista Regional Hospital,104 Legion Drive,Las Vegas,NM,Warning Notice,07/27/2022
13,Inova Fairfax Hospital,3300 Gallows Road,Falls Church,VA,Warning Notice,05/18/2021
14,Sharp Grossmont Hospital,5555 Grossmont Center Dr,La Mesa,CA,Warning Notice,05/26/2023
15,University Of Utah Health,50 N Medical Dr,Salt Lake City,UT,Warning Notice,07/27/2022
16,Parkview Regional Medical Center,11109 Parkview Plaza Drive,Fort Wayne,IN,Warning Notice,06/23/2023
17,Beloit Memorial Hospital,1969 W Hart Rd,Beloit,WI,Warning Notice,06/29/2022
18,Santa Rosa Behavioral Healthcare Hospital,1287 Fulton Road,Santa Rosa,CA,Warning Notice,07/27/2022
19,UMC Children's Hospital,800 Hope Place,Las Vegas,NV,Warning Notice,06/29/2022
20,Good Samaritan Hospital,375 Dixmyth Avenue,Cincinnati,OH,Warning Notice,02/06/2024
22,Bethesda Hospital West,9655  Boynton Beach Blvd,Boynton Beach,FL,Warning Notice,02/01/2024
23,Nocona General Hospital,100 Park Road,Nocona,TX,Warning Notice,07/27/2022
24,Lamb Healthcare Center,1500 South Sunset Avenue,Littlefield,TX,Warning Notice,07/27/2022
25,Kell West Regional Hospital,5420 Kell Blvd,Wichita Falls,TX,Warning Notice,07/27/2022
